freq_hz,if2_gain_db
56500000.0,-80.0
57000000.0,-80.0
57500000.0,-80.0
58000000.0,-80.0
58500000.0,-80.0
59000000.0,-80.0
59500000.0,-80.0
60000000.0,-80.0
60500000.0,-80.0
61000000.0,-80.0
61500000.0,-80.0
62000000.0,-80.0
62500000.0,-80.0
63000000.0,-80.0
63500000.0,-80.0
64000000.0,-80.0
64500000.0,-80.0
65000000.0,-80.0
65500000.0,-80.0
66000000.0,-80.0
66500000.0,-80.0
67000000.0,-80.0
67500000.0,-80.0
68000000.0,-80.0
68500000.0,-80.0
69000000.0,-80.0
69500000.0,-80.0
70000000.0,-80.0
70500000.0,-80.0
71000000.0,-80.0
71500000.0,-80.0
72000000.0,-80.0
72500000.0,-80.0
73000000.0,-80.0
73500000.0,-80.0
74000000.0,-80.0
74500000.0,-80.0
75000000.0,-80.0
75500000.0,-80.0
76000000.0,-80.0
76500000.0,-80.0
77000000.0,-80.0
77500000.0,-80.0
78000000.0,-80.0
78500000.0,-80.0
79000000.0,-80.0
79500000.0,-80.0
80000000.0,-80.0
80500000.0,-80.0
81000000.0,-80.0
81500000.0,-80.0
82000000.0,-80.0
82500000.0,-80.0
83000000.0,-80.0
83500000.0,-80.0
84000000.0,-80.0
84500000.0,-80.0
85000000.0,-80.0
85500000.0,-80.0
86000000.0,-80.0
86500000.0,-80.0
87000000.0,-80.0
87500000.0,-80.0
88000000.0,-80.0
88500000.0,-80.0
89000000.0,-80.0
89500000.0,-80.0
90000000.0,-80.0
90500000.0,-80.0
91000000.0,-80.0
91500000.0,-80.0
92000000.0,-80.0
92500000.0,-80.0
93000000.0,-80.0
93500000.0,-80.0
94000000.0,-80.0
94500000.0,-80.0
95000000.0,-80.0
95500000.0,-80.0
96000000.0,-80.0
96500000.0,-80.0
97000000.0,-80.0
97500000.0,-80.0
98000000.0,-80.0
98500000.0,-80.0
99000000.0,-80.0
99500000.0,-80.0
100000000.0,-80.0
100500000.0,-80.0
101000000.0,-80.0
101500000.0,-80.0
102000000.0,-80.0
102500000.0,-80.0
103000000.0,-80.0
103500000.0,-80.0
104000000.0,-80.0
104500000.0,-80.0
105000000.0,-80.0
105500000.0,-80.0
106000000.0,-80.0
106500000.0,-80.0
107000000.0,-80.0
107500000.0,-80.0
108000000.0,-80.0
108500000.0,-80.0
109000000.0,-80.0
109500000.0,-80.0
110000000.0,-80.0
110500000.0,-80.0
111000000.0,-80.0
111500000.0,-80.0
112000000.0,-80.0
112500000.0,-80.0
113000000.0,-80.0
113500000.0,-80.0
114000000.0,-80.0
114500000.0,-80.0
115000000.0,-80.0
115500000.0,-80.0
116000000.0,-80.0
116500000.0,-80.0
117000000.0,-80.0
117500000.0,-80.0
118000000.0,-80.0
118500000.0,-80.0
119000000.0,-80.0
119500000.0,-80.0
120000000.0,-80.0
120500000.0,-80.0
121000000.0,-80.0
121500000.0,-80.0
122000000.0,-80.0
122500000.0,-80.0
123000000.0,-80.0
123500000.0,-80.0
124000000.0,-80.0
124500000.0,-80.0
125000000.0,-80.0
125500000.0,-80.0
126000000.0,-80.0
126500000.0,-80.0
127000000.0,-80.0
127500000.0,-80.0
128000000.0,-80.0
