freq_hz,if2_gain_db
0.0,-80.0
500000.0,-80.0
1000000.0,-80.0
1500000.0,-80.0
2000000.0,-80.0
2500000.0,-80.0
3000000.0,-80.0
3500000.0,-80.0
4000000.0,-80.0
4500000.0,-80.0
5000000.0,-80.0
5500000.0,-80.0
6000000.0,-80.0
6500000.0,-80.0
7000000.0,-80.0
7500000.0,-80.0
8000000.0,-80.0
8500000.0,-80.0
9000000.0,-80.0
9500000.0,-80.0
10000000.0,-80.0
10500000.0,-80.0
11000000.0,-80.0
11500000.0,-80.0
12000000.0,-80.0
12500000.0,-80.0
13000000.0,-80.0
13500000.0,-80.0
14000000.0,-80.0
14500000.0,-80.0
15000000.0,-80.0
15500000.0,-80.0
16000000.0,-80.0
16500000.0,-80.0
17000000.0,-80.0
17500000.0,-80.0
18000000.0,-80.0
18500000.0,-80.0
19000000.0,-80.0
19500000.0,-80.0
20000000.0,-80.0
20500000.0,-80.0
21000000.0,-80.0
21500000.0,-80.0
22000000.0,-80.0
22500000.0,-80.0
23000000.0,-80.0
23500000.0,-80.0
24000000.0,-80.0
24500000.0,-80.0
25000000.0,-80.0
25500000.0,-80.0
26000000.0,-80.0
26500000.0,-80.0
27000000.0,-80.0
27500000.0,-80.0
28000000.0,-80.0
28500000.0,-80.0
29000000.0,-80.0
29500000.0,-80.0
30000000.0,-80.0
30500000.0,-80.0
31000000.0,-80.0
31500000.0,-80.0
32000000.0,-80.0
32500000.0,-80.0
33000000.0,-80.0
33500000.0,-80.0
34000000.0,-80.0
34500000.0,-80.0
35000000.0,-80.0
35500000.0,-80.0
36000000.0,-80.0
36500000.0,-80.0
37000000.0,-80.0
37500000.0,-80.0
38000000.0,-80.0
38500000.0,-80.0
39000000.0,-80.0
39500000.0,-80.0
40000000.0,-80.0
40500000.0,-80.0
41000000.0,-80.0
41500000.0,-80.0
42000000.0,-80.0
42500000.0,-80.0
43000000.0,-80.0
43500000.0,-80.0
44000000.0,-80.0
44500000.0,-80.0
45000000.0,-80.0
45500000.0,-80.0
46000000.0,-80.0
46500000.0,-80.0
47000000.0,-80.0
47500000.0,-80.0
48000000.0,-80.0
48500000.0,-80.0
49000000.0,-80.0
49500000.0,-80.0
50000000.0,-80.0
50500000.0,-80.0
51000000.0,-80.0
51500000.0,-80.0
52000000.0,-80.0
52500000.0,-80.0
53000000.0,-80.0
53500000.0,-80.0
54000000.0,-80.0
54500000.0,-80.0
55000000.0,-80.0
55500000.0,-80.0
56000000.0,-80.0
